Title,Info
Nihon Chinbotsu 2020,"
ONA (10 eps)
      Scored 6.44
      108,688 members
"
2020 Nyeon Ujuui Wonder Kiddy,"
TV (13 eps)
      Scored N/A
      425 members
"
Go for 2020,"
ONA (1 eps)
      Scored 6.02
      358 members
"
Dragon Quest: Dai no Daibouken (2020),"
TV
      Scored 7.12
      48,594 members
"
Tokyo 2020 Olympics CMs,"
ONA
      Scored N/A
      148 members
"
Hakushon Daimaou 2020,"
TV (20 eps)
      Scored 6.07
      650 members
"
Pittanko!! Nekozakana (2020),"
TV (13 eps)
      Scored N/A
      59 members
"
Penguin Minna Kyou Dai 2020,"
Music (1 eps)
      Scored N/A
      107 members
"
Haikyuu!!: To the Top 2nd Season,"
TV (12 eps)
      Scored 8.55
      479,583 members
"
Kanon (2006),"
TV (24 eps)
      Scored 7.99
      240,736 members
"
